what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1394309574498
java.specification.vendor,sysinfo,,,"Oracle Corporation",1394309574498
java.specification.version,sysinfo,,,"1.7",1394309574498
java.vendor,sysinfo,,,"Oracle Corporation",1394309574498
java.version,sysinfo,,,"1.7.0_25",1394309574498
java.vm.info,sysinfo,,,"mixed mode",1394309574498
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1394309574498
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394309574498
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1394309574498
java.vm.specification.version,sysinfo,,,"1.7",1394309574498
java.vm.vendor,sysinfo,,,"Oracle Corporation",1394309574498
java.vm.version,sysinfo,,,"23.25-b01",1394309574498
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1394309575639
started,bundle,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.adt",1394309575741
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1394309576015
started,bundle,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui",1394309576017
started,bundle,com.aptana.scripting.ui,3.0.0.1363994809,"com.aptana.scripting.ui",1394309576087
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1394309576697
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1394309576698
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1394309577027
started,bundle,com.aptana.scripting,3.1.0.1367525200,"com.aptana.scripting",1394309577104
started,bundle,com.aptana.theme,3.0.0.1364595254,"com.aptana.theme",1394309577245
error,log,,,"An internal error occurred during: ""Start Ruble bundle manager"".",1394309577475
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1394309577611
started,bundle,com.aptana.usage,3.0.0.1370549535,"com.aptana.usage",1394309577978
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1394309578335
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1394309580674
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1394309581224
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1394309581480
started,bundle,com.aptana.editor.epl,3.0.0.1363886503,"com.aptana.editor.epl",1394309581545
started,bundle,com.aptana.editor.php.epl,3.3.0.1358460206,"com.aptana.editor.php.epl",1394309581715
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1394309581852
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1394309581930
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1394309582014
started,bundle,com.aptana.git.core,3.0.0.1370549535,"com.aptana.git.core",1394309582119
started,bundle,com.aptana.git.ui,3.0.3.1360356384,"com.aptana.git.ui",1394309582136
started,bundle,com.aptana.syncing.core,3.0.0.1367525200,"com.aptana.syncing.core",1394309582349
started,bundle,com.aptana.core.io,3.0.3.1366554463,"com.aptana.core.io",1394309582405
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1394309582534
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1394309582535
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1394309582609
started,bundle,com.aptana.syncing.ui,3.0.3.1367525200,"com.aptana.syncing.ui",1394309582645
started,bundle,com.aptana.console,3.0.0.1365900908,"com.aptana.console",1394309582656
started,bundle,org.eclipse.jgit,2.3.1.201302201838-r,"org.eclipse.jgit",1394309582927
started,bundle,org.python.pydev.core,2.7.0.2013032300,"org.python.pydev.core",1394309582964
started,bundle,org.python.pydev.debug,2.7.0.2013032300,"org.python.pydev.debug",1394309582992
started,bundle,org.eclipse.egit.core,2.3.1.201302201838-r,"org.eclipse.egit.core",1394309583231
started,bundle,com.python.pydev.analysis,2.7.0.2013032300,"com.python.pydev.analysis",1394309583498
started,bundle,org.python.pydev,2.7.0.2013032300,"org.python.pydev",1394309583498
started,bundle,com.aptana.interactive_console,2.7.0.2013032300,"com.aptana.interactive_console",1394309583761
started,bundle,org.eclipse.egit.ui,2.3.1.201302201838-r,"org.eclipse.egit.ui",1394309583921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394309584844
started,bundle,beaver,3.0.0.1346444146,"beaver",1394309590816
started,bundle,com.aptana.core.epl,3.0.0.1344341997,"com.aptana.core.epl",1394309590842
started,bundle,org.python.pydev.red_core,2.7.0.2013032300,"org.python.pydev.red_core",1394309591142
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1394309591507
started,bundle,com.aptana.browser,3.0.0.1369878415,"com.aptana.browser",1394309591908
started,bundle,com.aptana.configurations,3.0.3.1352336277,"com.aptana.configurations",1394309591974
started,bundle,com.aptana.projects,3.0.0.1368601846,"com.aptana.projects",1394309592037
started,bundle,com.aptana.samples.ui,3.0.0.1369628888,"com.aptana.samples.ui",1394309592042
started,bundle,com.aptana.samples,3.0.0.1366222046,"com.aptana.samples",1394309592057
opened,editor,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui.browser.startPage",1394309592079
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1394309592157
activated,editor,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui.browser.startPage",1394309592158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394309608627
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394309614724
closed,editor,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui.browser.startPage",1394309614738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394309621584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394309753007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1394309753023
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1394309775455
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1394309775481
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1394309775643
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1394309775674
started,bundle,com.aptana.php.debug.epl,3.3.0.1345228196,"com.aptana.php.debug.epl",1394309775734
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1394309775958
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1394309775984
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1394309776147
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1394309776164
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1394309776190
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1394309776208
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1394309776209
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1394309776286
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1394309776301
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1394309776399
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1394309776423
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1394309803275
