what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394569188382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394569189209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394569266329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394569266537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394569266597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394569270855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394571838188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394571839627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394572026099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394572026868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394574238580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394574239504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394576669757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394576671718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394578009163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394578010195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394578027789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394578028875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394582125477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394582133136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394582136974
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394582147223
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1394582154332
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1394582163358
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1394582163478
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1394582163606
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1394582163929
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1394582164248
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1394582164471
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1394582164842
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1394582165130
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1394582165290
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1394582165617
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1394582165847
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1394582166192
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1394582166402
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1394582166786
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1394582167542
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1394582167732
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1394582168244
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1394582169347
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1394582169542
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1394582169867
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1394582170290
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1394582170589
